rsi,bu,bl,bu2,bl2,MA1,MA2,open1,close1,Low1,High1,resultado
56.16100101,0.00097013,0.00054995,0.00129841,0,0.00011459,0.00042878,0.00077954,0.00077954,1.11266,1.11285,0
58.02114074,0.00085352,0.00048703,0.00113955,0,0.00002398,0.00033973,0.00072478,0.00072478,1.11282,1.1129,0
58.02114074,0.00081428,0.00047055,0.00106556,0.00003961,0,0.00031697,0.00068692,0.00068692,1.11288,1.11295,0
59.61117158,0.00080599,0.00046906,0.00100419,0.00011618,0,0.00031865,0.00071252,0.00071252,1.11288,1.11296,1
56.1741119,0.0007874,0.0004778,0.00094778,0.00018008,0,0.00031883,0.0006396,0.0006396,1.11285,1.11294,1
53.94119084,0.00077347,0.00046299,0.00091479,0.00021,0,0.00031796,0.00058773,0.00058773,1.11279,1.11287,0
56.31473546,0.00075072,0.00044111,0.00089174,0.00020542,0,0.00031736,0.00061291,0.00061291,1.11282,1.11288,0
58.7431327,0.00073007,0.00045951,0.00088839,0.00019186,0,0.00031779,0.00064979,0.00064979,1.11288,1.11296,0
65.02450542,0.00074887,0.00043903,0.00088144,0.00020313,0,0.00032085,0.00078395,0.00078395,1.11293,1.11313,0
66.13501889,0.00076892,0.00041874,0.0008798,0.00020853,0,0.00032407,0.00079783,0.00079783,1.11306,1.11312,1
54.87647752,0.00075906,0.00040914,0.00084632,0.00024021,0,0.00032336,0.0006056,0.0006056,1.11291,1.11313,1
48.89990632,0.00074273,0.00038923,0.00082614,0.00024916,0,0.0003201,0.00047598,0.00047598,1.11281,1.11293,1
37.81257913,0.00078938,0.00029862,0.00086816,0.00018483,0,0.00031097,0.0001725,0.0001725,1.11251,1.11283,0
39.77336801,0.00080506,0.00023752,0.00088971,0.0001442,0,0.0003029,0.00020829,0.00020829,1.11246,1.11255,0
44.04811314,0.00079876,0.00020301,0.00089366,0.00011244,0,0.00029681,0.00029238,0.00029238,1.11252,1.11265,0
48.42813856,0.00078798,0.00018524,0.0008873,0.00009726,0,0.00029279,0.00038461,0.00038461,1.11263,1.11276,0
53.52189676,0.00077127,0.00017458,0.00087711,0.00008707,0,0.0002913,0.00050442,0.00050442,1.11272,1.11289,1
49.10249864,0.00075373,0.00015949,0.00086499,0.00008823,0,0.00028753,0.00038661,0.00038661,1.11276,1.11288,0
52.90928832,0.00074454,0.00016842,0.00085608,0.0000832,0,0.0002857,0.00047698,0.00047698,1.11272,1.11286,1
49.7063473,0.00073484,0.00015639,0.00084841,0.00007448,0,0.0002822,0.00038912,0.00038912,1.11274,1.11284,0
53.49602111,0.00072432,0.00014654,0.00083873,0.0000648,0,0.00028063,0.00047943,0.00047943,1.11282,1.11299,1
50.23488635,0.00071121,0.00013483,0.0008191,0.00005661,0,0.00027738,0.00039152,0.00039152,1.11277,1.11287,0
51.81649961,0.00069466,0.00012529,0.00080877,0.00004718,0,0.00027488,0.00042298,0.00042298,1.11277,1.11284,0
52.22528755,0.00068461,0.00011619,0.00079559,0.00003855,0,0.00027251,0.0004244,0.0004244,1.11268,1.11295,0
52.22528755,0.0006774,0.0001086,0.00078142,0.00003058,0,0.00027006,0.000416,0.000416,1.11255,1.11292,1
47.54694802,0.00066632,0.00009516,0.00077384,0.00001765,0,0.0002656,0.00030974,0.00030974,1.11267,1.11288,0
49.02230472,0.00065379,0.00008424,0.00075837,0.00000898,0,0.00026178,0.00033301,0.00033301,1.11264,1.11278,1
