open,high,low,close,at,from,to,volume,color
1.08625,1.086455,1.08576,1.08622,,1586252400,,937,0.0
1.086225,1.087135,1.0861,1.087005,,1586252700,,907,1.0
1.087,1.087415,1.086985,1.087095,,1586253000,,807,1.0
1.087105,1.08745,1.087005,1.08742,,1586253300,,843,1.0
1.087425,1.088575,1.08733,1.088545,,1586253600,,931,1.0
1.088535,1.08896,1.088415,1.088465,,1586253900,,941,0.0
1.08847,1.088995,1.08844,1.08884,,1586254200,,935,1.0
1.088835,1.088885,1.08834,1.08858,,1586254500,,814,0.0
1.088575,1.089295,1.088535,1.08896,,1586254800,,992,1.0
1.088965,1.08915,1.088055,1.088185,,1586255100,,920,0.0
1.08819,1.088815,1.088075,1.0884,,1586255400,,903,1.0
1.088395,1.088415,1.088055,1.088145,,1586255700,,803,0.0
1.08814,1.08852,1.08803,1.088385,,1586256000,,813,1.0
1.088395,1.088935,1.0882,1.08891,,1586256300,,836,1.0
1.0889,1.08892,1.088045,1.08813,,1586256600,,880,0.0
1.088135,1.08832,1.087685,1.08782,,1586256900,,915,0.0
1.087815,1.087815,1.087475,1.087475,,1586257200,,844,0.0
1.08748,1.087815,1.087475,1.08778,,1586257500,,790,1.0
1.087775,1.08804,1.087315,1.087375,,1586257800,,924,0.0
1.08738,1.08746,1.087085,1.08714,,1586258100,,818,0.0
1.087135,1.087235,1.086265,1.086585,,1586258400,,939,0.0
1.08658,1.087175,1.08657,1.086595,,1586258700,,931,1.0
1.086595,1.086595,1.086055,1.086475,,1586259000,,923,0.0
1.08649,1.086735,1.086045,1.086415,,1586259300,,979,0.0
1.086405,1.086925,1.086175,1.08691,,1586259600,,892,1.0
1.086915,1.08739,1.086695,1.08721,,1586259900,,875,1.0
1.087205,1.08821,1.087195,1.087785,,1586260200,,901,1.0
1.0878,1.08794,1.087705,1.087755,,1586260500,,849,0.0
1.087765,1.08792,1.087525,1.08785,,1586260800,,899,1.0
1.08787,1.08802,1.087375,1.087995,,1586261100,,872,1.0
1.08799,1.08866,1.087985,1.088475,,1586261400,,933,1.0
1.08848,1.089705,1.088465,1.08952,,1586261700,,988,1.0
1.0896,1.090535,1.0896,1.090485,,1586262000,,1018,1.0
1.090505,1.091565,1.090345,1.09103,,1586262300,,1025,1.0
1.091045,1.09107,1.090335,1.09037,,1586262600,,944,0.0
1.090365,1.09098,1.090145,1.09098,,1586262900,,928,1.0
1.090975,1.091485,1.0908,1.090985,,1586263200,,907,1.0
1.09098,1.09142,1.090555,1.09139,,1586263500,,874,1.0
1.091385,1.09175,1.09078,1.090805,,1586263800,,987,0.0
1.090785,1.090975,1.090265,1.09049,,1586264100,,915,0.0
1.090485,1.090995,1.09016,1.09069,,1586264400,,970,1.0
1.090695,1.09098,1.08996,1.090365,,1586264700,,917,0.0
1.09037,1.09063,1.089955,1.090095,,1586265000,,917,0.0
1.09011,1.090355,1.08988,1.09033,,1586265300,,910,1.0
1.090335,1.09142,1.09029,1.091135,,1586265600,,896,1.0
1.09113,1.09149,1.09076,1.09144,,1586265900,,890,1.0
1.091445,1.091475,1.09025,1.090695,,1586266200,,1012,0.0
1.0907,1.09084,1.090285,1.09058,,1586266500,,1009,0.0
1.090575,1.091435,1.09029,1.09143,,1586266800,,1029,1.0
1.091415,1.09172,1.091015,1.091265,,1586267100,,1023,0.0
1.09126,1.091475,1.090645,1.0911,,1586267400,,1056,0.0
1.09111,1.091655,1.09098,1.091565,,1586267700,,1009,1.0
1.091555,1.091555,1.09103,1.091365,,1586268000,,1009,0.0
1.09138,1.09152,1.090975,1.09109,,1586268300,,1002,0.0
1.09106,1.09174,1.090925,1.091275,,1586268600,,922,1.0
1.091275,1.092685,1.091195,1.09171,,1586268900,,1019,1.0
1.091715,1.092015,1.091025,1.091025,,1586269200,,1053,0.0
1.09101,1.091375,1.090525,1.09053,,1586269500,,1029,0.0
1.09054,1.090895,1.09031,1.090805,,1586269800,,1026,1.0
1.0908,1.091125,1.09021,1.090525,,1586270100,,1010,0.0
1.090515,1.090735,1.090325,1.09045,,1586270400,,989,0.0
1.090445,1.090605,1.090185,1.090225,,1586270700,,936,0.0
1.09023,1.090345,1.08939,1.08941,,1586271000,,1021,0.0
1.0894,1.089465,1.088085,1.088325,,1586271300,,1126,0.0
1.088395,1.08845,1.08763,1.088185,,1586271600,,1168,0.0
1.08819,1.088875,1.08811,1.08815,,1586271900,,998,0.0
1.088145,1.088925,1.08811,1.088815,,1586272200,,891,1.0
1.088815,1.089355,1.088785,1.08928,,1586272500,,1002,1.0
1.089295,1.089425,1.08858,1.08904,,1586272800,,936,0.0
1.089035,1.089035,1.08841,1.08859,,1586273100,,879,0.0
1.088595,1.0886,1.088075,1.08827,,1586273400,,966,0.0
1.08826,1.089025,1.088255,1.088895,,1586273700,,910,1.0
1.088885,1.08966,1.08888,1.08961,,1586274000,,883,1.0
1.0896,1.08978,1.088885,1.089435,,1586274300,,996,0.0
1.08944,1.089575,1.08864,1.088685,,1586274600,,927,0.0
1.08868,1.08904,1.08858,1.088605,,1586274900,,947,0.0
1.08859,1.089015,1.088315,1.08878,,1586275200,,937,1.0
1.08879,1.089735,1.088765,1.089495,,1586275500,,919,1.0
1.08949,1.089565,1.08896,1.089035,,1586275800,,909,0.0
1.089045,1.089545,1.088995,1.089495,,1586276100,,880,1.0
1.0895,1.08995,1.08948,1.089775,,1586276400,,931,1.0
1.08979,1.09036,1.089535,1.090295,,1586276700,,959,1.0
1.09029,1.090985,1.090085,1.090185,,1586277000,,1002,0.0
1.09018,1.090265,1.089875,1.08991,,1586277300,,885,0.0
1.089905,1.09005,1.089715,1.08995,,1586277600,,822,1.0
1.089955,1.09053,1.089835,1.090415,,1586277900,,907,1.0
1.090425,1.09045,1.08968,1.089685,,1586278200,,884,0.0
1.089695,1.089895,1.089405,1.08965,,1586278500,,947,0.0
1.08964,1.090015,1.089505,1.08959,,1586278800,,908,0.0
1.089605,1.08996,1.08956,1.089795,,1586279100,,889,1.0
1.0898,1.089935,1.089455,1.089645,,1586279400,,909,0.0
1.089655,1.089765,1.08941,1.089585,,1586279700,,830,0.0
1.089575,1.0896,1.08907,1.08922,,1586280000,,847,0.0
1.08921,1.08947,1.08903,1.089325,,1586280300,,838,1.0
1.089335,1.089335,1.08895,1.08902,,1586280600,,878,0.0
1.089015,1.089585,1.088975,1.089425,,1586280900,,813,1.0
1.08944,1.089495,1.088905,1.08904,,1586281200,,848,0.0
1.089035,1.089275,1.08891,1.089275,,1586281500,,752,1.0
1.08927,1.08974,1.089265,1.08972,,1586281800,,808,1.0
1.089725,1.090455,1.08971,1.090395,,1586282100,,833,1.0
1.090385,1.090845,1.090335,1.090775,,1586282400,,896,1.0
1.09078,1.091005,1.09059,1.09066,,1586282700,,952,0.0
1.090655,1.09097,1.090495,1.090845,,1586283000,,850,1.0
1.09084,1.09092,1.09015,1.090195,,1586283300,,933,0.0
1.0902,1.090565,1.0902,1.090345,,1586283600,,864,1.0
1.09036,1.090625,1.0902,1.09022,,1586283900,,822,0.0
1.090235,1.09047,1.090195,1.090295,,1586284200,,845,1.0
1.090305,1.09095,1.09029,1.09057,,1586284500,,848,1.0
1.09056,1.090695,1.090195,1.09027,,1586284800,,869,0.0
1.090275,1.09079,1.090275,1.090495,,1586285100,,879,1.0
1.09052,1.09061,1.09019,1.09033,,1586285400,,915,0.0
1.09034,1.090795,1.09032,1.090365,,1586285700,,834,1.0
1.090325,1.090965,1.090225,1.09042,,1586286000,,888,1.0
1.0904,1.09071,1.090395,1.090525,,1586286300,,818,1.0
1.09052,1.090835,1.09051,1.090585,,1586286600,,771,1.0
1.090605,1.090805,1.090385,1.090385,,1586286900,,828,0.0
1.09039,1.09068,1.09037,1.09047,,1586287200,,770,1.0
1.090465,1.09071,1.09038,1.09039,,1586287500,,810,0.0
1.090385,1.090595,1.090335,1.090485,,1586287800,,816,1.0
1.09048,1.090515,1.09031,1.090405,,1586288100,,727,0.0
1.09041,1.090425,1.090135,1.09027,,1586288400,,711,0.0
1.090275,1.09041,1.090175,1.09037,,1586288700,,775,1.0
1.090375,1.090705,1.090335,1.090515,,1586289000,,789,1.0
1.090525,1.090575,1.09027,1.090485,,1586289300,,875,0.0
1.09048,1.090485,1.09013,1.09013,,1586289600,,754,0.0
1.090135,1.090195,1.08967,1.089745,,1586289900,,726,0.0
1.08975,1.08984,1.08965,1.08973,,1586290200,,722,0.0
1.089735,1.089825,1.089635,1.089665,,1586290500,,589,0.0
1.08968,1.08979,1.089665,1.08977,,1586290800,,606,1.0
1.08978,1.089795,1.089495,1.089505,,1586291100,,630,0.0
1.089515,1.089755,1.089505,1.08953,,1586291400,,659,1.0
1.089525,1.08955,1.089325,1.089415,,1586291700,,673,0.0
1.089405,1.08958,1.08939,1.08945,,1586292000,,681,1.0
1.089455,1.08963,1.08917,1.089215,,1586292300,,730,0.0
1.0892,1.089315,1.08894,1.08909,,1586292600,,839,0.0
1.089085,1.089295,1.089085,1.089165,,1586292900,,749,1.0
1.08917,1.089435,1.08891,1.089195,,1586293200,,289,1.0
1.089165,1.08962,1.089115,1.08945,,1586293500,,410,1.0
1.089445,1.08958,1.089325,1.08942,,1586293800,,344,0.0
1.089385,1.08949,1.08929,1.089405,,1586294100,,321,1.0
1.089425,1.089565,1.089195,1.089255,,1586294400,,325,0.0
1.089275,1.08936,1.08917,1.0892,,1586294700,,270,0.0
1.0892,1.08934,1.08905,1.0893,,1586295000,,478,1.0
1.089245,1.08952,1.08919,1.08948,,1586295300,,496,1.0
1.0895,1.0895,1.089195,1.08931,,1586295600,,385,0.0
1.08922,1.089365,1.08891,1.089115,,1586295900,,526,0.0
1.089035,1.089205,1.088925,1.08908,,1586296200,,369,1.0
1.08908,1.089235,1.08898,1.08913,,1586296500,,380,1.0
1.0891,1.089585,1.089035,1.08943,,1586296800,,811,1.0
1.08944,1.089475,1.08923,1.0894,,1586297100,,738,0.0
1.089415,1.08943,1.089145,1.089235,,1586297400,,764,0.0
1.08923,1.089465,1.08923,1.08929,,1586297700,,736,1.0
1.08931,1.08953,1.089185,1.08934,,1586298000,,708,1.0
1.08935,1.089495,1.08931,1.089375,,1586298300,,718,1.0
1.08938,1.08948,1.08931,1.08944,,1586298600,,636,1.0
1.08942,1.08947,1.089195,1.089345,,1586298900,,768,0.0
1.08934,1.08938,1.08917,1.08928,,1586299200,,769,0.0
1.08928,1.08965,1.08923,1.089435,,1586299500,,832,1.0
1.089415,1.08947,1.089175,1.089175,,1586299800,,630,0.0
1.089185,1.08928,1.08911,1.08924,,1586300100,,583,1.0
1.08923,1.0896,1.08916,1.089565,,1586300400,,744,1.0
1.089555,1.089795,1.08953,1.089675,,1586300700,,633,1.0
1.089665,1.08968,1.0895,1.08965,,1586301000,,676,0.0
1.08966,1.08975,1.089495,1.08975,,1586301300,,748,1.0
1.089745,1.08992,1.089715,1.089795,,1586301600,,611,1.0
1.089785,1.090035,1.08974,1.09002,,1586301900,,535,1.0
1.090015,1.09005,1.089895,1.09003,,1586302200,,614,1.0
1.09004,1.09022,1.08995,1.09,,1586302500,,646,0.0
1.090005,1.09006,1.089775,1.090025,,1586302800,,718,1.0
1.09003,1.090075,1.08982,1.089825,,1586303100,,612,0.0
1.089845,1.08987,1.089165,1.08951,,1586303400,,835,0.0
1.08953,1.08959,1.089355,1.089355,,1586303700,,739,0.0
1.08936,1.089695,1.089215,1.08948,,1586304000,,929,1.0
1.089465,1.089515,1.08935,1.089465,,1586304300,,810,0.0
1.08946,1.08963,1.08936,1.089445,,1586304600,,905,0.0
1.08945,1.089495,1.088955,1.088955,,1586304900,,950,0.0
1.088945,1.08907,1.08847,1.08848,,1586305200,,948,0.0
1.088475,1.0888,1.088415,1.088605,,1586305500,,958,1.0
1.088585,1.08863,1.0876,1.087855,,1586305800,,1034,0.0
1.087835,1.08787,1.0873,1.087305,,1586306100,,979,0.0
1.0873,1.08773,1.08714,1.08759,,1586306400,,972,1.0
1.087575,1.087925,1.087465,1.087775,,1586306700,,916,1.0
1.087785,1.087785,1.086745,1.0868,,1586307000,,1006,0.0
1.08677,1.08731,1.08671,1.086785,,1586307300,,944,1.0
1.08679,1.08743,1.08675,1.08721,,1586307600,,913,1.0
1.0872,1.087505,1.087015,1.087425,,1586307900,,885,1.0
