rsi,bb_up,bb_down,ma100,ma50,VA,VN
1577384501.22720718,0.98134509,0.98031491,0.98084673,0.98084134,1,2
1577384794.22374821,0.98131514,0.98040586,0.98084798,0.98084404,2,2
1577385093.46702719,0.98125364,0.98053036,0.98084881,0.98084584,2,1
1577385393.89170432,0.98123178,0.98058922,0.98084983,0.98084796,1,2
1577385686.29419971,0.98123466,0.98058134,0.98084706,0.98084255,2,1
1577385990.17661977,0.98123485,0.98058015,0.98084593,0.98084049,1,2
1577386590.17661977,0.98123049,0.98058051,0.98084373,0.98083661,0,2
1577386885.68434668,0.98123208,0.98055792,0.98084089,0.98083125,2,2
1577387180.76626039,0.98124503,0.98052497,0.98083592,0.98082179,2,2
1577387477.90264535,0.98125339,0.98047161,0.98082966,0.98080996,2,2
1577387775.53425407,0.98126972,0.98041328,0.98082234,0.98079623,2,2
1577388073.96430588,0.98128803,0.98035597,0.98081438,0.98078148,2,2
1577388373.96430588,0.98130373,0.98031227,0.98080657,0.9807673,2,2
1577388669.88654351,0.9813235,0.9802445,0.98079693,0.98074976,2,2
1577388969.49620128,0.98132979,0.98018021,0.98078729,0.98073252,2,1
1577389286.92423487,0.98126474,0.98017326,0.9807814,0.98072301,1,1
1577389894.20439601,0.98108953,0.98022847,0.9807739,0.98071278,0,2
1577390194.20439601,0.98106031,0.98022669,0.98077026,0.98070796,2,1
1577390505.41612601,0.98099388,0.98025912,0.98076985,0.98070961,1,2
1577390802.63150287,0.98096382,0.98027018,0.98076887,0.98071002,2,2
1577391100.70329595,0.98093368,0.98028132,0.9807675,0.98070963,2,2
1577391391.85134077,0.98088981,0.98029519,0.98076419,0.98070533,2,2
1577391691.85134077,0.98087944,0.98029456,0.98076094,0.9807012,2,1
1577392000.45485187,0.98086491,0.98030009,0.98075973,0.98070115,1,2
1577392291.61699295,0.98083917,0.98030683,0.98075657,0.98069718,2,2
1577392591.61699295,0.98081091,0.98031609,0.98075347,0.98069337,2,2
1577392879.09935308,0.98079612,0.98030288,0.98074686,0.98068265,2,1
1577393787.77367878,0.98079155,0.98030245,0.98073287,0.98066275,0,2
1577394079.97551322,0.98079277,0.98029923,0.98072628,0.98065244,2,1
1577394396.4396193,0.98079496,0.98031404,0.98072358,0.98065,1,2
1577394684.19829082,0.98078644,0.98032956,0.98071698,0.9806398,2,2
1577394980.81446433,0.9807848,0.9803322,0.98070912,0.98062726,2,1
1577395587.75736618,0.9807862,0.9803058,0.98069758,0.98061093,0,1
1577395904.30039954,0.9807987,0.9803033,0.98069743,0.98061403,1,2
1577396197.92727423,0.9807987,0.9803033,0.98069531,0.98061309,2,2
1577396493.24322701,0.98076964,0.98030836,0.98069164,0.98060905,2,2
1577396791.50256801,0.98074325,0.98031075,0.98068744,0.98060399,2,1
1577397092.85839033,0.98071831,0.98031569,0.98068373,0.98059991,1,1
1577397703.97795987,0.98074636,0.98030464,0.98068378,0.98060646,0,2
1577397999.21147943,0.98073372,0.98031028,0.98068272,0.98060738,2,1
1577398300.50761557,0.98074097,0.98030803,0.98068207,0.98060905,1,2
1577398597.0531745,0.98074221,0.98030779,0.98068064,0.98060909,2,1
1577398904.51995897,0.98076733,0.98031267,0.98068142,0.98061344,1,2
1577399202.61312842,0.98078669,0.98031231,0.98068179,0.98061683,2,2
1577399495.33470845,0.98079345,0.98031755,0.98068057,0.98061696,2,2
1577399794.45366478,0.98079862,0.98032238,0.98067917,0.98061668,2,1
1577400104.39477181,0.9808159,0.9803391,0.98068038,0.98062152,1,1
1577400419.09657025,0.98092589,0.98027811,0.98068829,0.9806395,1,1
1577400719.39873862,0.98100935,0.98026465,0.98069624,0.98065717,1,1
1577401326.20148277,0.98126996,0.98020404,0.98072266,0.98071198,0,2
1577401617.06866217,0.98133864,0.98022136,0.9807335,0.98073386,2,2
1577401908.9504571,0.98138587,0.98022213,0.98074214,0.98075097,2,1
1577402515.38778186,0.98152101,0.98024699,0.98076598,0.98079703,0,2
1577402815.38778186,0.98156703,0.98028797,0.98077754,0.98081871,2,2
1577403101.24866176,0.9815784,0.9803446,0.98078551,0.98083288,2,1
1577403407.05889106,0.98161201,0.98037299,0.9807957,0.9808512,1,1
1577403715.1467309,0.98167763,0.98039037,0.98081004,0.98087743,1,2
1577404015.1467309,0.98172729,0.98042971,0.9808241,0.98090263,2,2
1577404302.59950185,0.98174123,0.98048577,0.98083452,0.98092017,2,2
1577404596.47527599,0.98173114,0.98055986,0.98084274,0.9809331,2,2
1577405183.83098197,0.98169701,0.98064799,0.98084813,0.98093671,0,1
1577408460.87382531,0.98173371,0.98041029,0.98083456,0.98088424,0,1
1577408796.80077767,0.98172332,0.98039968,0.98083705,0.98088721,1,1
1577409099.5871675,0.98169446,0.98039754,0.98084106,0.9808932,1,2
1577409400.31253219,0.98166491,0.98039809,0.9808454,0.98089974,2,2
1577409699.79990244,0.98163302,0.98039998,0.98084945,0.98090564,2,2
1577409999.79990244,0.98162221,0.98039779,0.98085342,0.9809113,2,2
1577410297.93566489,0.98159368,0.98039832,0.98085672,0.98091556,2,1
1577410603.9559648,0.98152927,0.98042473,0.98086233,0.98092436,1,1
1577410912.45820975,0.98149352,0.98044448,0.98087219,0.98094145,1,1
1577411214.08234835,0.9815058,0.9804382,0.98088284,0.98095982,1,1
1577411518.25771356,0.98156614,0.98040786,0.98089605,0.98098296,1,2
1577411817.43416429,0.98164223,0.98038777,0.9809088,0.98100481,2,2
1577412105.21413493,0.9816817,0.9803883,0.98091813,0.98101952,2,2
1577412696.59814644,0.98171759,0.98040441,0.98093075,0.98103648,0,2
1577412995.29282641,0.981732,0.980414,0.98093648,0.98104367,2,2
1577413289.00970721,0.98173788,0.98042212,0.98094011,0.98104667,2,2
1577413581.73039174,0.98173788,0.98042212,0.9809409,0.98104405,2,2
1577413879.86594033,0.98170822,0.98049578,0.98094088,0.98103997,2,2
1577414176.27722931,0.98165277,0.98059723,0.98093928,0.98103291,2,1
1577414479.88578272,0.98155584,0.98075016,0.9809385,0.9810277,1,2
1577414774.41595483,0.98157101,0.98071699,0.98093537,0.98101799,2,2
1577415071.65017009,0.98159307,0.98066193,0.9809309,0.98100591,2,2
1577415358.96531916,0.98171834,0.98044366,0.98091504,0.98097156,2,1
1577415684.78454614,0.98172783,0.98039117,0.9809092,0.98095777,1,2
1577415982.63017607,0.9817397,0.9803283,0.98090189,0.98094139,2,1
1577416289.14930129,0.9817386,0.9802974,0.98089789,0.98093192,1,2
1577416586.01143456,0.98173148,0.98025052,0.98089199,0.98091891,2,1
1577416889.02052093,0.98168926,0.98022374,0.9808876,0.98090915,1,1
1577417191.22129512,0.98163068,0.98021332,0.98088428,0.98090173,1,1
1577417499.27723217,0.98153809,0.98024291,0.98088499,0.98090245,1,2
1577417796.56914854,0.98143145,0.98028155,0.98088449,0.98090078,2,2
1577418090.57902884,0.98134803,0.98029897,0.98088123,0.98089369,2,1
1577418392.00724244,0.98128799,0.98031001,0.98087864,0.98088806,1,2
1577418686.0983541,0.98121849,0.98031651,0.98087332,0.98087715,2,1
1577418986.6654284,0.98114147,0.98033353,0.9808683,0.98086707,1,1
1577419290.22066402,0.98107972,0.98035128,0.98086457,0.98085973,1,2
1577419587.20658731,0.98104275,0.98035225,0.98085973,0.98085033,2,2
1577419884.25351262,0.98100982,0.98034718,0.98085379,0.98083894,2,1
1577420187.16682887,0.98098759,0.98034341,0.98084877,0.98082957,1,2
1577420482.42423916,0.98095593,0.98033607,0.98084206,0.98081704,2,1
1577420784.07030606,0.98094096,0.98032604,0.98083588,0.98080579,1,2
1577421080.2542305,0.98093525,0.98030675,0.98082844,0.98079223,2,2
1577421378.6626389,0.98087461,0.98039739,0.98082055,0.98077802,2,2
1577421669.75770521,0.98091583,0.98031617,0.98080865,0.98075614,2,2
