rsi,bb_up,bb_down,bb_up2,bb_down2,ma100,ma50,sar,stoch,close,open,result
57.22720707,0.98134509,0.98031491,0.9816073,0.97973204,0.98084673,0.98084134,0.9815564,35.92592593,0.98109,0.98091,1
50.22374829,0.98131514,0.98040586,0.98162413,0.97974387,0.98084798,0.98084404,0.98154307,32.96296296,0.98091,0.98108,1
49.46702718,0.98125364,0.98053036,0.98163769,0.97975631,0.98084881,0.98084584,0.98153001,32.59259259,0.98089,0.9809,0
49.89170432,0.98123178,0.98058922,0.98163594,0.97979873,0.98084983,0.98084796,0.98150241,24.71910112,0.9809,0.98089,1
42.29419969,0.98123466,0.98058134,0.98162672,0.97983061,0.98084706,0.98084255,0.98147591,15.96958175,0.98071,0.98089,0
46.17661966,0.98123485,0.98058015,0.98161343,0.97987524,0.98084593,0.98084049,0.98142996,10.81081081,0.98079,0.98073,1
46.17661966,0.98123049,0.98058051,0.9815599,0.9799981,0.98084373,0.98083661,0.98133182,10.83333333,0.98079,0.98079,1
41.68434674,0.98123208,0.98055792,0.98153283,0.98004983,0.98084089,0.98083125,0.98128127,9.23076923,0.9807,0.9808,1
36.76626036,0.98124503,0.98052497,0.98150531,0.98009469,0.98083592,0.98082179,0.98123477,15.16853933,0.98059,0.9807,1
33.90264543,0.98125339,0.98047161,0.98148039,0.98013228,0.98082966,0.98080996,0.9811523,16.20111732,0.98052,0.9806,1
31.53425414,0.98126972,0.98041328,0.98145445,0.98016889,0.98082234,0.98079623,0.98107807,17.5257732,0.98046,0.98056,1
29.96430584,0.98128803,0.98035597,0.98142332,0.98021068,0.98081438,0.98078148,0.98101126,9.44444444,0.98042,0.98045,1
29.96430584,0.98130373,0.98031227,0.9814379,0.98018877,0.98080657,0.9807673,0.98095113,4375,0.98042,0.98043,1
25.88654353,0.9813235,0.9802445,0.98147712,0.98012021,0.98079693,0.98074976,0.98089702,1.30718954,0.98032,0.98041,1
25.49620116,0.98132979,0.98018021,0.98151003,0.98005464,0.98078729,0.98073252,0.98082778,3.94736842,0.98031,0.98032,0
42.92423484,0.98126474,0.98017326,0.98150984,0.98002749,0.9807814,0.98072301,0.98074829,17.72151899,0.98049,0.98031,0
50.20439603,0.98108953,0.98022847,0.98150184,0.98000549,0.9807739,0.98071278,0.98062114,58.55263158,0.98059,0.98059,1
50.20439603,0.98106031,0.98022669,0.9815,0.979994,0.98077026,0.98070796,0.98062,73.88059701,0.98059,0.9806,0
61.41612607,0.98099388,0.98025912,0.98148237,0.97999696,0.98076985,0.98070961,0.98026,87.12121212,0.98075,0.9806,1
58.6315028,0.98096382,0.98027018,0.98147295,0.97999571,0.98076887,0.98071002,0.9802704,89.51048951,0.98072,0.98074,1
56.70329606,0.98093368,0.98028132,0.98146828,0.97999305,0.9807675,0.98070963,0.98029198,85.80246914,0.9807,0.98072,1
47.85134082,0.98088981,0.98029519,0.98146815,0.97998651,0.98076419,0.98070533,0.9803127,75.15151515,0.9806,0.98069,1
47.85134082,0.98087944,0.98029456,0.98146343,0.9799779,0.98076094,0.9807012,0.9803326,67.87878788,0.9806,0.98061,0
56.45485189,0.98086491,0.98030009,0.98145112,0.97997754,0.98075973,0.98070115,0.98035169,67.28395062,0.9807,0.98061,1
