open,high,low,close,from,to,volume,ask,bid,ema_30_60,ema_100_60,ema_30_300,ema_100_300,rsi_60,rsi_300,rsi_900,mood_forex,color,signal
109.333,1.093.415,109.328,1.093.365,1586541600,1586541900,428,109.351,109.322,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.375,1586541600,1586541900,445,109.351,109.324,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.333,1586541600,1586541900,450,109.347,109.319,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.336,1586541600,1586541900,453,10.935,109.322,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.345,1586541600,1586541900,456,10.935,109.319,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.375,1586541600,1586541900,462,109.354,109.321,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.385,1586541600,1586541900,465,109.354,109.323,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.345,1586541600,1586541900,467,109.349,10.932,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.336,1586541600,1586541900,472,109.352,10.932,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.336,1586541600,1586541900,472,109.352,10.932,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.345,1586541600,1586541900,478,109.351,109.318,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.335,1586541600,1586541900,481,10.935,109.317,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.333,1586541600,1586541900,483,109.344,109.322,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
